год;Year
человек;Man
время;Time
дело;Case
жизнь;Life
день;Day
рука;Hand
раз;Time
работа;Work
слово;Word
место;Place
лицо;Face
друг;Friend
глаз;Eye
вопрос;Question
дом;House
сторона;Side
страна;Country
мир;World
случай;Case
голова;Head
ребенок;Child
сила;Force
конец;End
вид;View
система;System
часть;Part
город;City
отношение;Relationship
женщина;Woman
деньги;Money
земля;Earth
машина;Machine
вода;Water
отец;Father
проблема;Problem
час;Hour
право;Right
нога;Leg
решение;Solution
дверь;Door
образ;Image
история;History
власть;Power
закон;Law
война;War
бог;God
голос;Voice
тысяча;Thousand
книга;Book
возможность;Possibility
результат;Result
ночь;Night
стол;Table
имя;Name
область;Area
статья;Article
число;Number
компания;Company
народ;People
жена;Wife
группа;Group
развитие;Development
процесс;Process
суд;Court
условие;Condition
средство;Tool
начало;Start
свет;Light
пора;Pore
путь;Way
душа;Soul
уровень;Level
форма;Form
связь;Link
минута;Minute
улица;Street
вечер;Evening
качество;Quality
мысль;Thought
дорога;Road
мать;Mother
действие;Action
месяц;Month
государство;State
язык;Language
любовь;Love
взгляд;Look
мама;Mom
век;Century
школа;School
цель;Goal
общество;Society
деятельность;Activity
организация;Organization
президент;President
комната;Room
порядок;Order
момент;Moment
театр;Theatre
письмо;Letter
утро;Morning
помощь;Help
ситуация;Situation
роль;Role
рубль;Ruble
смысл;Sense
состояние;State
квартира;Apartment
орган;Authority
внимание;Attention
тело;Body
труд;Work
сын;Son
мера;Measure
смерть;Death
рынок;Market
программа;Program
задача;Task
предприятие;Enterprise
окно;Window
разговор;Conversation
правительство;Government
семья;Family
производство;Production
информация;Information
положение;Position
центр;Center
ответ;Answer
муж;Husband
автор;Author
стена;Wall
интерес;Interest
федерация;Federation
правило;Rule
управление;Management
мужчина;Man
идея;Idea
партия;Party
совет;Council
счет;Account
сердце;Heart
движение;Movement
вещь;Thing
материал;Material
неделя;Week
чувство;Feeling
глава;Chapter
наука;Science
ряд;Row
газета;Newspaper
причина;Reason
плечо;Shoulder
цена;Price
план;Plan
речь;Speech
точка;Point
основа;Base
товарищ;Comrade
культура;Culture
данные;Data
мнение;Opinion
документ;Document
институт;Institute
ход;Move
проект;Project
встреча;Meeting
директор;Director
срок;Term
палец;Finger
опыт;Experience
служба;Service
судьба;Fate
девушка;Girl
очередь;Queue
лес;Forest
состав;Composition
член;Member
количество;Quantity
событие;Event
объект;Object
зал;Hall
создание;Creature
значение;Value
период;Period
шаг;Step
брат;Brother
искусство;Art
структура;Structure
номер;Room
пример;Example
исследование;Study
гражданин;Citizen
игра;Game
начальник;Head
рост;Growth
тема;Theme
принцип;Principle
метод;Method
тип;Type
фильм;Movie
край;End
гость;Guest
воздух;Air
характер;Character
борьба;Fight
использование;Use
размер;Size
образование;Education
мальчик;Boy
кровь;Blood
район;District
небо;Sky
армия;Army
класс;Class
представитель;Representative
участие;Participation
девочка;Girl
политика;Politics
герой;Hero
картина;Picture
доллар;Dollar
спина;Back
территория;Territory
пол;Floor
поле;Field
изменение;Change
направление;Direction
рисунок;Figure
течение;Flow
церковь;Church
банк;Bank
сцена;Scene
население;Population
большинство;Most
музыка;Music
правда;Truth
свобода;Freedom
память;Memory
команда;Team
союз;Union
врач;Doctor
договор;Contract
дерево;Tree
факт;Fact
хозяин;Master
природа;Nature
угол;Angle
телефон;Phone
позиция;Position
двор;Yard
писатель;Writer
самолет;Plane
объем;Volume
род;Family
солнце;Sun
вера;Faith
берег;Shore
спектакль;Performance
фирма;Company
способ;Way
завод;Plant
цвет;Color
журнал;Journal
руководитель;Head
специалист;Specialist
оценка;Score
регион;Region
песня;Song
процент;Percentage
родитель;Parent
море;Sea
требование;Requirement
основание;Grounds
половина;Half
роман;Roman
круг;Circle
анализ;Analysis
стихи;Poems
автомобиль;Car
экономика;Economy
литература;Literature
бумага;Paper
поэт;Poet
степень;Degree
господин;Mister
надежда;Hope
предмет;Subject
вариант;Option
министр;Minister
граница;Border
дух;Spirit
модель;Model
операция;Operation
пара;Couple
сон;Dream
название;Name
ум;Mind
повод;Reason
старик;Old man
миллион;Million
успех;Success
счастье;Happiness
ребята;Guys
кабинет;Office
магазин;Shop
пространство;Space
выход;Output
удар;Blow
база;Base
знание;Knowledge
текст;Text
защита;Protection
руководство;Guide
площадь;Square
сознание;Consciousness
возраст;Age
участник;Participant
участок;Plot
пункт;Item
линия;Line
желание;Desire
папа;Dad
доктор;Doctor
губа;Lip
дочь;Daughter
среда;Environment
председатель;Chairman
представление;View
солдат;Soldiers
художник;Artist
волос;Hair
оружие;Weapon
соответствие;Match
ветер;Wind
парень;Guy
зрение;Vision
генерал;General
огонь;Fire
понятие;Concept
строительство;Construction
ухо;Ear
грудь;Breast
нос;Nose
страх;Fear
услуга;Service
содержание;Content
радость;Joy
безопасность;Security
продукт;Product
комплекс;Complex
бизнес;Business
сад;Garden
сотрудник;Employee
лето;Summer
курс;Course
предложение;Offer
рот;Mouth
технология;Technology
реформа;Reform
отсутствие;Absense
собака;Dog
камень;Stone
будущее;Future
рассказ;Story
контроль;Control
река;River
продукция;Products
сумма;Amount
техника;Technique
здание;Building
сфера;Sphere
необходимость;Need
фонд;Fund
подготовка;Preparation
лист;Letter
республика;Republic
хозяйство;Household
воля;Will
бюджет;Budget
снег;Snow
деревня;Village
мужик;Man
элемент;Element
обстоятельство;Circumstance
немец;German
победа;Victory
источник;Source
звезда;Star
выбор;Choice
масса;Weight
итог;Summary
сестра;Sister
практика;Practice
проведение;Behavior
карман;Pocket
слава;Glory
кухня;Kitchen
определение;Definition
функция;Function
войско;Army
комиссия;Commission
применение;Application
капитан;Captain
работник;Worker
обеспечение;Provision
офицер;Officer
фамилия;Surname
предел;Limit
выборы;Elections
ученый;Scientist
бутылка;Bottle
бой;Fight
теория;Theory
зона;Area
отдел;Department
зуб;Tooth
разработка;Development
личность;Personality
гора;Mountain
товар;Product
метр;Meter
праздник;Holiday
влияние;Influence
читатель;Reader
удовольствие;Pleasure
актер;Actor
слеза;Tear
ответственность;Responsibility
учитель;Teacher
акт;Act
боль;Pain
множество;Variety
особенность;Feature
показатель;Indicator
корабль;Ship
звук;Sound
впечатление;Impression
частность;Particular
детство;Childhood
вывод;Outcome
профессор;Professor
доля;Share
норма;Norm
прошлое;Past
командир;Commander
коридор;Corridor
поддержка;Support
рамка;Framework
враг;Enemy
этап;Stage
черт;Devil
дед;Grandfather
собрание;Meeting
прием;Reception
болезнь;Disease
клетка;Cell
кожа;Leather
заявление;Statement
попытка;Attempt
сравнение;Comparison
расчет;Calculation
депутат;Deputy
комитет;Committee
знак;Sign
дядя;Uncle
учет;Accounting
хлеб;Bread
чай;Tea
режим;Mode
